####################################################################################################
# Month: 10Oct                                                                                     #
# Station: YAN                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,10,1,0,1.801893
2009,10,1,1,2.056788
2009,10,1,2,2.705257
2009,10,1,3,1.718468
2009,10,1,4,1.29165
2009,10,1,5,2.242676
2009,10,1,6,2.919256
2009,10,1,7,1.963892
2009,10,2,0,3.84467
2009,10,2,1,2.66387
2009,10,2,2,1.751006
2009,10,2,3,2.508658
2009,10,2,4,2.197006
2009,10,2,5,2.493319
2009,10,2,6,2.146344
2009,10,2,7,4.229063
2009,10,3,0,6.735606
2009,10,3,1,7.37108
2009,10,3,2,5.31085
2009,10,3,3,4.973445
2009,10,3,4,5.810041
2009,10,3,5,6.782246
2009,10,3,6,6.776048
2009,10,3,7,5.351441
2009,10,4,0,5.021004
2009,10,4,1,4.194028
2009,10,4,2,4.057454
2009,10,4,3,2.759636
2009,10,4,4,2.065127
2009,10,4,5,5.223681
2009,10,4,6,3.647021
2009,10,4,7,1.02531
2009,10,5,0,2.312695
2009,10,5,1,2.306542
2009,10,5,2,2.611151
2009,10,5,3,3.659
2009,10,5,4,3.370346
2009,10,5,5,3.097918
2009,10,5,6,3.998992
2009,10,5,7,2.68564
2009,10,6,0,4.597417
2009,10,6,1,6.197383
2009,10,6,2,6.000909
2009,10,6,3,6.34602
2009,10,6,4,6.388915
2009,10,6,5,5.772004
2009,10,6,6,3.5036
2009,10,6,7,2.235532
2009,10,7,0,4.040322
2009,10,7,1,6.356953
2009,10,7,2,7.484811
2009,10,7,3,7.895749
2009,10,7,4,7.836626
2009,10,7,5,7.246185
2009,10,7,6,7.100903
2009,10,7,7,5.325012
2009,10,8,0,4.763318
2009,10,8,1,3.348468
2009,10,8,2,2.557555
2009,10,8,3,2.460695
2009,10,8,4,3.936784
2009,10,8,5,5.352152
2009,10,8,6,5.996301
2009,10,8,7,5.011142
2009,10,9,0,2.878288
2009,10,9,1,3.133923
2009,10,9,2,3.361856
2009,10,9,3,1.602632
2009,10,9,4,3.245766
2009,10,9,5,1.461706
2009,10,9,6,1.189987
2009,10,9,7,2.621661
2009,10,10,0,4.03946
2009,10,10,1,3.538551
2009,10,10,2,1.811629
2009,10,10,3,1.088591
2009,10,10,4,1.162863
2009,10,10,5,1.952253
2009,10,10,6,2.886203
2009,10,10,7,4.880157
2009,10,11,0,7.256515
2009,10,11,1,6.685032
2009,10,11,2,4.232624
2009,10,11,3,3.364951
2009,10,11,4,2.274423
2009,10,11,5,1.65025
2009,10,11,6,2.089754
2009,10,11,7,4.740171
2009,10,12,0,7.19596
2009,10,12,1,5.011269
2009,10,12,2,6.132947
2009,10,12,3,5.190183
2009,10,12,4,3.096741
2009,10,12,5,1.329974
2009,10,12,6,0.991293
2009,10,12,7,2.654149
2009,10,13,0,4.982079
2009,10,13,1,4.325654
2009,10,13,2,2.974979
2009,10,13,3,1.36793
2009,10,13,4,0.702024
2009,10,13,5,0.268274
2009,10,13,6,1.743369
2009,10,13,7,3.767418
2009,10,14,0,4.40308
2009,10,14,1,5.439227
2009,10,14,2,5.510934
2009,10,14,3,2.978152
2009,10,14,4,0.372967
2009,10,14,5,1.86571
2009,10,14,6,3.083377
2009,10,14,7,3.101055
2009,10,15,0,3.529024
2009,10,15,1,4.5151
2009,10,15,2,6.322349
2009,10,15,3,5.139998
2009,10,15,4,7.014668
2009,10,15,5,9.501495
2009,10,15,6,9.686047
2009,10,15,7,5.572199
2009,10,16,0,4.093243
2009,10,16,1,3.147589
2009,10,16,2,1.855096
2009,10,16,3,1.378927
2009,10,16,4,2.036091
2009,10,16,5,2.883726
2009,10,16,6,1.467417
2009,10,16,7,1.574772
2009,10,17,0,4.295621
2009,10,17,1,4.94077
2009,10,17,2,3.130972
2009,10,17,3,3.764892
2009,10,17,4,5.160859
2009,10,17,5,8.005229
2009,10,17,6,7.65206
2009,10,17,7,6.779278
2009,10,18,0,8.27972
2009,10,18,1,8.55125
2009,10,18,2,6.414378
2009,10,18,3,4.961293
2009,10,18,4,4.814459
2009,10,18,5,5.609863
2009,10,18,6,6.342415
2009,10,18,7,5.567285
2009,10,19,0,6.476314
2009,10,19,1,7.717736
2009,10,19,2,7.875155
2009,10,19,3,6.842489
2009,10,19,4,7.375301
2009,10,19,5,7.994748
2009,10,19,6,5.327121
2009,10,19,7,3.164026
2009,10,20,0,3.283637
2009,10,20,1,3.964712
2009,10,20,2,2.080266
2009,10,20,3,1.887902
2009,10,20,4,3.782173
2009,10,20,5,4.540191
2009,10,20,6,3.202074
2009,10,20,7,1.332821
2009,10,21,0,2.186813
2009,10,21,1,2.17284
2009,10,21,2,1.807025
2009,10,21,3,3.087924
2009,10,21,4,4.438756
2009,10,21,5,5.434988
2009,10,21,6,4.665654
2009,10,21,7,2.790475
2009,10,22,0,3.737037
2009,10,22,1,4.5965
2009,10,22,2,4.722913
2009,10,22,3,4.959551
2009,10,22,4,7.075203
2009,10,22,5,8.027372
2009,10,22,6,8.095937
2009,10,22,7,6.652237
2009,10,23,0,6.536512
2009,10,23,1,7.065421
2009,10,23,2,4.631131
2009,10,23,3,5.21497
2009,10,23,4,7.822636
2009,10,23,5,8.209466
2009,10,23,6,6.465776
2009,10,23,7,4.739684
2009,10,24,0,3.775658
2009,10,24,1,3.772277
2009,10,24,2,2.463784
2009,10,24,3,2.012464
2009,10,24,4,2.932724
2009,10,24,5,4.507552
2009,10,24,6,3.701371
2009,10,24,7,1.851025
2009,10,25,0,4.099109
2009,10,25,1,5.756558
2009,10,25,2,6.158822
2009,10,25,3,5.85101
2009,10,25,4,6.509032
2009,10,25,5,7.424731
2009,10,25,6,5.51902
2009,10,25,7,2.288578
2009,10,26,0,1.020301
2009,10,26,1,2.306081
2009,10,26,2,2.101274
2009,10,26,3,1.525982
2009,10,26,4,2.770131
2009,10,26,5,4.04649
2009,10,26,6,2.826543
2009,10,26,7,2.14878
2009,10,27,0,3.062562
2009,10,27,1,3.124976
2009,10,27,2,6.002662
2009,10,27,3,7.512123
2009,10,27,4,7.855445
2009,10,27,5,5.648961
2009,10,27,6,5.072531
2009,10,27,7,5.781387
2009,10,28,0,6.251601
2009,10,28,1,5.589931
2009,10,28,2,4.961983
2009,10,28,3,4.631046
2009,10,28,4,4.595476
2009,10,28,5,2.991184
2009,10,28,6,1.74701
2009,10,28,7,1.408747
2009,10,29,0,4.339095
2009,10,29,1,9.123824
2009,10,29,2,8.26991
2009,10,29,3,1.84458
2009,10,29,4,6.401821
2009,10,29,5,10.045871
2009,10,29,6,10.34957
2009,10,29,7,9.523733
2009,10,30,0,8.415558
2009,10,30,1,8.332277
2009,10,30,2,8.521449
2009,10,30,3,9.430498
2009,10,30,4,8.762894
2009,10,30,5,8.651855
2009,10,30,6,8.458992
2009,10,30,7,5.508773
2009,10,31,0,3.150596
2009,10,31,1,1.74709
2009,10,31,2,3.285916
2009,10,31,3,5.738684
2009,10,31,4,6.627056
2009,10,31,5,7.044434
2009,10,31,6,7.058901
2009,10,31,7,3.434619
2010,10,1,0,0.812128
2010,10,1,1,0.420905
2010,10,1,2,0.274312
2010,10,1,3,2.148115
2010,10,1,4,4.159774
2010,10,1,5,4.589922
2010,10,1,6,5.180512
2010,10,1,7,5.264434
2010,10,2,0,6.613627
2010,10,2,1,9.464245
2010,10,2,2,10.914946
2010,10,2,3,12.796467
2010,10,2,4,14.11581
2010,10,2,5,12.283964
2010,10,2,6,11.947743
2010,10,2,7,13.157479
2010,10,3,0,12.603472
2010,10,3,1,10.402398
2010,10,3,2,10.33311
2010,10,3,3,9.551792
2010,10,3,4,9.384251
2010,10,3,5,6.919232
2010,10,3,6,5.623628
2010,10,3,7,5.173675
2010,10,4,0,4.975672
2010,10,4,1,5.033417
2010,10,4,2,5.151288
2010,10,4,3,6.2726
2010,10,4,4,5.630585
2010,10,4,5,5.556233
2010,10,4,6,4.19884
2010,10,4,7,3.463209
2010,10,5,0,5.118664
2010,10,5,1,3.38111
2010,10,5,2,2.103653
2010,10,5,3,1.502781
2010,10,5,4,2.661165
2010,10,5,5,4.147787
2010,10,5,6,4.082329
2010,10,5,7,1.879082
2010,10,6,0,2.229604
2010,10,6,1,1.455528
2010,10,6,2,1.428139
2010,10,6,3,2.727
2010,10,6,4,2.635737
2010,10,6,5,0.622324
2010,10,6,6,0.200011
2010,10,6,7,2.688486
2010,10,7,0,4.214866
2010,10,7,1,5.216272
2010,10,7,2,3.721979
2010,10,7,3,3.053562
2010,10,7,4,2.307778
2010,10,7,5,2.146742
2010,10,7,6,0.630819
2010,10,7,7,0.976991
2010,10,8,0,1.847245
2010,10,8,1,1.417041
2010,10,8,2,2.291723
2010,10,8,3,4.093091
2010,10,8,4,7.848722
2010,10,8,5,8.837766
2010,10,8,6,6.112628
2010,10,8,7,3.191426
2010,10,9,0,1.980679
2010,10,9,1,3.024876
2010,10,9,2,1.950092
2010,10,9,3,2.435476
2010,10,9,4,1.445336
2010,10,9,5,3.593922
2010,10,9,6,4.343901
2010,10,9,7,3.635106
2010,10,10,0,2.965655
2010,10,10,1,4.360332
2010,10,10,2,5.393954
2010,10,10,3,6.910035
2010,10,10,4,8.458006
2010,10,10,5,8.277985
2010,10,10,6,7.183989
2010,10,10,7,5.763225
2010,10,11,0,5.577874
2010,10,11,1,8.281832
2010,10,11,2,11.000471
2010,10,11,3,10.959179
2010,10,11,4,11.134151
2010,10,11,5,11.715669
2010,10,11,6,7.38221
2010,10,11,7,4.41821
2010,10,12,0,5.237139
2010,10,12,1,4.942532
2010,10,12,2,4.921397
2010,10,12,3,4.168448
2010,10,12,4,5.269641
2010,10,12,5,5.34652
2010,10,12,6,2.981278
2010,10,12,7,3.928526
2010,10,13,0,4.113116
2010,10,13,1,2.669297
2010,10,13,2,2.868757
2010,10,13,3,3.325006
2010,10,13,4,2.92929
2010,10,13,5,2.199313
2010,10,13,6,1.132781
2010,10,13,7,3.283975
2010,10,14,0,2.102869
2010,10,14,1,1.313312
2010,10,14,2,1.116905
2010,10,14,3,1.693034
2010,10,14,4,1.51194
2010,10,14,5,1.812359
2010,10,14,6,0.853056
2010,10,14,7,1.960598
2010,10,15,0,2.423298
2010,10,15,1,2.188632
2010,10,15,2,1.857808
2010,10,15,3,1.921636
2010,10,15,4,2.000632
2010,10,15,5,5.13735
2010,10,15,6,5.83188
2010,10,15,7,2.968877
2010,10,16,0,3.694543
2010,10,16,1,4.024727
2010,10,16,2,3.649947
2010,10,16,3,3.61051
2010,10,16,4,3.888611
2010,10,16,5,4.765507
2010,10,16,6,4.496208
2010,10,16,7,3.770081
2010,10,17,0,5.192618
2010,10,17,1,3.894979
2010,10,17,2,3.436517
2010,10,17,3,4.635062
2010,10,17,4,5.246572
2010,10,17,5,5.036182
2010,10,17,6,4.281779
2010,10,17,7,2.833196
2010,10,18,0,4.879811
2010,10,18,1,4.922651
2010,10,18,2,3.685476
2010,10,18,3,2.716571
2010,10,18,4,2.648119
2010,10,18,5,4.408303
2010,10,18,6,3.79445
2010,10,18,7,0.803856
2010,10,19,0,1.677285
2010,10,19,1,1.543889
2010,10,19,2,1.327768
2010,10,19,3,0.624436
2010,10,19,4,1.121938
2010,10,19,5,2.684701
2010,10,19,6,1.797823
2010,10,19,7,1.818132
2010,10,20,0,2.677936
2010,10,20,1,4.671488
2010,10,20,2,3.867964
2010,10,20,3,2.981403
2010,10,20,4,5.397051
2010,10,20,5,6.14103
2010,10,20,6,4.185935
2010,10,20,7,2.000765
2010,10,21,0,1.908439
2010,10,21,1,2.429119
2010,10,21,2,2.455978
2010,10,21,3,2.079004
2010,10,21,4,2.882195
2010,10,21,5,3.287115
2010,10,21,6,3.064343
2010,10,21,7,7.775751
2010,10,22,0,7.941396
2010,10,22,1,7.526573
2010,10,22,2,7.18178
2010,10,22,3,6.596624
2010,10,22,4,4.540394
2010,10,22,5,2.931524
2010,10,22,6,1.401634
2010,10,22,7,1.776404
2010,10,23,0,4.312425
2010,10,23,1,3.707137
2010,10,23,2,3.579902
2010,10,23,3,3.867787
2010,10,23,4,2.336402
2010,10,23,5,3.463078
2010,10,23,6,1.936652
2010,10,23,7,4.59346
2010,10,24,0,8.517908
2010,10,24,1,9.309236
2010,10,24,2,8.465523
2010,10,24,3,9.552421
2010,10,24,4,9.095902
2010,10,24,5,6.271052
2010,10,24,6,4.746337
2010,10,24,7,3.167998
2010,10,25,0,6.026338
2010,10,25,1,6.566967
2010,10,25,2,6.527246
2010,10,25,3,7.078012
2010,10,25,4,7.971092
2010,10,25,5,7.992026
2010,10,25,6,6.576283
2010,10,25,7,3.680464
2010,10,26,0,3.309959
2010,10,26,1,4.388087
2010,10,26,2,5.090791
2010,10,26,3,5.205695
2010,10,26,4,5.944857
2010,10,26,5,6.77201
2010,10,26,6,3.715957
2010,10,26,7,0.757978
2010,10,27,0,1.301316
2010,10,27,1,2.567467
2010,10,27,2,1.637342
2010,10,27,3,1.278728
2010,10,27,4,1.422132
2010,10,27,5,3.976688
2010,10,27,6,3.794453
2010,10,27,7,0.972876
2010,10,28,0,0.827505
2010,10,28,1,1.012904
2010,10,28,2,1.206978
2010,10,28,3,2.461936
2010,10,28,4,1.356371
2010,10,28,5,1.154083
2010,10,28,6,0.683273
2010,10,28,7,1.888214
2010,10,29,0,2.863949
2010,10,29,1,2.068961
2010,10,29,2,0.643122
2010,10,29,3,1.604641
2010,10,29,4,1.543625
2010,10,29,5,2.008404
2010,10,29,6,1.838316
2010,10,29,7,1.480832
2010,10,30,0,3.231972
2010,10,30,1,1.339738
2010,10,30,2,2.345256
2010,10,30,3,2.1672
2010,10,30,4,3.791612
2010,10,30,5,6.331401
2010,10,30,6,4.385183
2010,10,30,7,2.763961
2010,10,31,0,2.577044
2010,10,31,1,0.27619
2010,10,31,2,2.135759
2010,10,31,3,1.756796
2010,10,31,4,1.734052
2010,10,31,5,1.183131
2010,10,31,6,0.474779
2010,10,31,7,1.912639
2011,10,1,0,3.420683
2011,10,1,1,3.591127
2011,10,1,2,3.113749
2011,10,1,3,2.689548
2011,10,1,4,1.914634
2011,10,1,5,2.942868
2011,10,1,6,0.577378
2011,10,1,7,2.535549
2011,10,2,0,4.717259
2011,10,2,1,2.832849
2011,10,2,2,2.387862
2011,10,2,3,0.830506
2011,10,2,4,1.865159
2011,10,2,5,3.278625
2011,10,2,6,1.906638
2011,10,2,7,3.187576
2011,10,3,0,2.206015
2011,10,3,1,1.506292
2011,10,3,2,2.913237
2011,10,3,3,2.530867
2011,10,3,4,2.398969
2011,10,3,5,0.9575
2011,10,3,6,0.621016
2011,10,3,7,1.83909
2011,10,4,0,1.984046
2011,10,4,1,0.681484
2011,10,4,2,1.94962
2011,10,4,3,2.044087
2011,10,4,4,1.955769
2011,10,4,5,2.946696
2011,10,4,6,1.549171
2011,10,4,7,1.125916
2011,10,5,0,1.536435
2011,10,5,1,1.337896
2011,10,5,2,0.225761
2011,10,5,3,1.487249
2011,10,5,4,4.191448
2011,10,5,5,6.338585
2011,10,5,6,3.994197
2011,10,5,7,1.565518
2011,10,6,0,0.889045
2011,10,6,1,0.357422
2011,10,6,2,0.966074
2011,10,6,3,2.760443
2011,10,6,4,4.061476
2011,10,6,5,5.921961
2011,10,6,6,3.84266
2011,10,6,7,4.664245
2011,10,7,0,4.658947
2011,10,7,1,4.333287
2011,10,7,2,4.532261
2011,10,7,3,5.270255
2011,10,7,4,6.680755
2011,10,7,5,6.393998
2011,10,7,6,3.865292
2011,10,7,7,2.661826
2011,10,8,0,2.972932
2011,10,8,1,3.314655
2011,10,8,2,4.56865
2011,10,8,3,4.361352
2011,10,8,4,4.527613
2011,10,8,5,5.090039
2011,10,8,6,2.359136
2011,10,8,7,4.098644
2011,10,9,0,4.347221
2011,10,9,1,3.968627
2011,10,9,2,4.450488
2011,10,9,3,4.41707
2011,10,9,4,3.873699
2011,10,9,5,5.047428
2011,10,9,6,3.870965
2011,10,9,7,3.467063
2011,10,10,0,3.009131
2011,10,10,1,1.590303
2011,10,10,2,1.010454
2011,10,10,3,1.759067
2011,10,10,4,3.176359
2011,10,10,5,4.760083
2011,10,10,6,3.464637
2011,10,10,7,3.440787
2011,10,11,0,4.148612
2011,10,11,1,4.62997
2011,10,11,2,5.347837
2011,10,11,3,5.337971
2011,10,11,4,3.999534
2011,10,11,5,3.196693
2011,10,11,6,3.317687
2011,10,11,7,3.482491
2011,10,12,0,3.821344
2011,10,12,1,5.476065
2011,10,12,2,7.790954
2011,10,12,3,9.697085
2011,10,12,4,10.369684
2011,10,12,5,8.850426
2011,10,12,6,7.825322
2011,10,12,7,6.830499
2011,10,13,0,8.092495
2011,10,13,1,9.02138
2011,10,13,2,10.397149
2011,10,13,3,11.352563
2011,10,13,4,11.10063
2011,10,13,5,9.425789
2011,10,13,6,7.155426
2011,10,13,7,6.844409
2011,10,14,0,8.520555
2011,10,14,1,7.960939
2011,10,14,2,8.753053
2011,10,14,3,8.768132
2011,10,14,4,7.023305
2011,10,14,5,5.284045
2011,10,14,6,4.304961
2011,10,14,7,2.639392
2011,10,15,0,2.905046
2011,10,15,1,2.566184
2011,10,15,2,1.885941
2011,10,15,3,2.538502
2011,10,15,4,2.455515
2011,10,15,5,3.5374
2011,10,15,6,2.381757
2011,10,15,7,1.823771
2011,10,16,0,1.366944
2011,10,16,1,2.019945
2011,10,16,2,3.873811
2011,10,16,3,4.082956
2011,10,16,4,4.684343
2011,10,16,5,3.781092
2011,10,16,6,1.298484
2011,10,16,7,1.341528
2011,10,17,0,2.024021
2011,10,17,1,2.274367
2011,10,17,2,3.464832
2011,10,17,3,4.038049
2011,10,17,4,1.529249
2011,10,17,5,1.339002
2011,10,17,6,1.710509
2011,10,17,7,3.247817
2011,10,18,0,4.050937
2011,10,18,1,3.949159
2011,10,18,2,3.366615
2011,10,18,3,3.551002
2011,10,18,4,3.143981
2011,10,18,5,4.477902
2011,10,18,6,4.186112
2011,10,18,7,5.003006
2011,10,19,0,6.260843
2011,10,19,1,6.381313
2011,10,19,2,5.151828
2011,10,19,3,3.829008
2011,10,19,4,4.077258
2011,10,19,5,6.584045
2011,10,19,6,5.69043
2011,10,19,7,3.9038
2011,10,20,0,3.361644
2011,10,20,1,2.795773
2011,10,20,2,0.257412
2011,10,20,3,1.263429
2011,10,20,4,2.629375
2011,10,20,5,2.193307
2011,10,20,6,0.503691
2011,10,20,7,1.782204
2011,10,21,0,3.698978
2011,10,21,1,3.373292
2011,10,21,2,2.72336
2011,10,21,3,2.90756
2011,10,21,4,2.192293
2011,10,21,5,3.264056
2011,10,21,6,2.133674
2011,10,21,7,3.561942
2011,10,22,0,5.251146
2011,10,22,1,4.782227
2011,10,22,2,3.0246
2011,10,22,3,2.754402
2011,10,22,4,4.400073
2011,10,22,5,6.284871
2011,10,22,6,4.316164
2011,10,22,7,1.27293
2011,10,23,0,0.985667
2011,10,23,1,0.607087
2011,10,23,2,1.316797
2011,10,23,3,3.183661
2011,10,23,4,4.744077
2011,10,23,5,4.603264
2011,10,23,6,5.427048
2011,10,23,7,3.977569
2011,10,24,0,4.033464
2011,10,24,1,6.233042
2011,10,24,2,6.799562
2011,10,24,3,8.153491
2011,10,24,4,10.590841
2011,10,24,5,8.961337
2011,10,24,6,8.264918
2011,10,24,7,6.138609
2011,10,25,0,4.401136
2011,10,25,1,5.422646
2011,10,25,2,6.672729
2011,10,25,3,7.163155
2011,10,25,4,7.601354
2011,10,25,5,10.103428
2011,10,25,6,9.766964
2011,10,25,7,7.277748
2011,10,26,0,4.256427
2011,10,26,1,4.412123
2011,10,26,2,3.964821
2011,10,26,3,4.697679
2011,10,26,4,5.770365
2011,10,26,5,5.825078
2011,10,26,6,4.17555
2011,10,26,7,3.227825
2011,10,27,0,4.271938
2011,10,27,1,3.021637
2011,10,27,2,4.694823
2011,10,27,3,6.538063
2011,10,27,4,11.456487
2011,10,27,5,16.286391
2011,10,27,6,13.57002
2011,10,27,7,12.723025
2011,10,28,0,13.069406
2011,10,28,1,14.034349
2011,10,28,2,14.820905
2011,10,28,3,13.81975
2011,10,28,4,12.722669
2011,10,28,5,13.787171
2011,10,28,6,9.669094
2011,10,28,7,8.10665
2011,10,29,0,7.654972
2011,10,29,1,9.824903
2011,10,29,2,8.535777
2011,10,29,3,5.016805
2011,10,29,4,2.79623
2011,10,29,5,3.010746
2011,10,29,6,1.379
2011,10,29,7,4.237975
2011,10,30,0,7.734245
2011,10,30,1,7.355201
2011,10,30,2,6.986433
2011,10,30,3,7.300001
2011,10,30,4,7.340541
2011,10,30,5,5.333239
2011,10,30,6,3.192317
2011,10,30,7,1.977262
2011,10,31,0,5.840088
2011,10,31,1,5.449315
2011,10,31,2,3.566421
2011,10,31,3,4.422322
2011,10,31,4,6.077002
2011,10,31,5,5.116354
2011,10,31,6,4.50873
2011,10,31,7,4.615379
2012,10,1,0,1.221209
2012,10,1,1,2.014499
2012,10,1,2,1.596743
2012,10,1,3,0.836623
2012,10,1,4,1.771607
2012,10,1,5,2.300049
2012,10,1,6,2.618612
2012,10,1,7,3.76871
2012,10,2,0,6.427635
2012,10,2,1,6.251294
2012,10,2,2,6.790833
2012,10,2,3,7.242129
2012,10,2,4,6.694415
2012,10,2,5,4.101659
2012,10,2,6,3.006338
2012,10,2,7,2.850338
2012,10,3,0,2.566836
2012,10,3,1,2.249007
2012,10,3,2,2.392249
2012,10,3,3,2.864965
2012,10,3,4,3.070742
2012,10,3,5,1.02889
2012,10,3,6,1.979256
2012,10,3,7,1.065655
2012,10,4,0,1.222564
2012,10,4,1,0.828996
2012,10,4,2,2.616237
2012,10,4,3,3.455555
2012,10,4,4,3.760509
2012,10,4,5,5.390614
2012,10,4,6,3.171474
2012,10,4,7,2.17129
2012,10,5,0,2.101284
2012,10,5,1,0.998651
2012,10,5,2,2.362824
2012,10,5,3,3.923088
2012,10,5,4,5.032378
2012,10,5,5,4.595507
2012,10,5,6,3.853753
2012,10,5,7,4.32434
2012,10,6,0,6.554093
2012,10,6,1,7.564451
2012,10,6,2,8.780247
2012,10,6,3,8.924004
2012,10,6,4,7.874118
2012,10,6,5,6.799586
2012,10,6,6,4.620379
2012,10,6,7,4.742175
2012,10,7,0,7.768814
2012,10,7,1,8.925783
2012,10,7,2,8.095348
2012,10,7,3,6.534314
2012,10,7,4,6.130189
2012,10,7,5,5.03329
2012,10,7,6,3.342906
2012,10,7,7,0.354099
2012,10,8,0,1.762228
2012,10,8,1,3.171422
2012,10,8,2,2.868251
2012,10,8,3,3.404051
2012,10,8,4,4.327593
2012,10,8,5,5.432422
2012,10,8,6,3.4499
2012,10,8,7,1.908497
2012,10,9,0,3.248824
2012,10,9,1,2.922199
2012,10,9,2,2.413743
2012,10,9,3,2.815937
2012,10,9,4,1.408303
2012,10,9,5,1.041168
2012,10,9,6,1.6314
2012,10,9,7,0.922467
2012,10,10,0,2.1888
2012,10,10,1,1.397975
2012,10,10,2,1.534396
2012,10,10,3,1.961181
2012,10,10,4,3.732901
2012,10,10,5,4.769728
2012,10,10,6,5.043615
2012,10,10,7,2.827913
2012,10,11,0,0.868478
2012,10,11,1,2.414414
2012,10,11,2,2.214507
2012,10,11,3,2.390415
2012,10,11,4,1.080557
2012,10,11,5,1.504715
2012,10,11,6,2.260946
