####################################################################################################
# Month: 12Dec                                                                                     #
# Station: YAN                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,12,1,0,1.627858,215.0473
2009,12,1,1,1.391642,202.2505
2009,12,1,2,1.450434,205.6908
2009,12,1,3,1.475941,207.3537
2009,12,1,4,1.569282,212.5047
2009,12,1,5,1.576434,212.5112
2009,12,1,6,1.615808,214.6415
2009,12,1,7,1.5641,211.5381
2009,12,2,0,1.308151,195.2288
2009,12,2,1,0.9877156,168.9422
2009,12,2,2,0.8251234,151.5171
2009,12,2,3,0.7657224,144.4534
2009,12,2,4,0.8148144,149.9698
2009,12,2,5,1.090958,178.1228
2009,12,2,6,1.352838,198.885
2009,12,2,7,1.44013,205.2915
2009,12,3,0,1.434979,205.0942
2009,12,3,1,1.452413,205.2134
2009,12,3,2,1.568092,211.4127
2009,12,3,3,1.458178,204.446
2009,12,3,4,1.415967,201.8886
2009,12,3,5,1.328933,197.1402
2009,12,3,6,1.377259,201.177
2009,12,3,7,1.313436,197.0493
2009,12,4,0,1.046781,175.26
2009,12,4,1,0.90385,159.7585
2009,12,4,2,0.9386735,162.1036
2009,12,4,3,1.11136,178.2875
2009,12,4,4,0.9370614,162.5625
2009,12,4,5,0.7491812,141.9882
2009,12,4,6,0.758591,144.2143
2009,12,4,7,0.7986485,149.4676
2009,12,5,0,0.6273278,127.7827
2009,12,5,1,0.5028362,109.1942
2009,12,5,2,0.4601961,101.9136
2009,12,5,3,0.5460789,115.4439
2009,12,5,4,0.8296692,152.1084
2009,12,5,5,1.092307,178.5191
2009,12,5,6,1.280899,194.135
2009,12,5,7,1.341227,198.8837
2009,12,6,0,1.159032,185.3983
2009,12,6,1,0.7489556,144.3379
2009,12,6,2,0.5529168,117.1868
2009,12,6,3,0.443915,100.1458
2009,12,6,4,0.5575916,118.3162
2009,12,6,5,0.7309952,142.2349
2009,12,6,6,0.7995423,150.7124
2009,12,6,7,0.6856391,137.0727
2009,12,7,0,0.4566353,102.9279
2009,12,7,1,0.3858261,90.37388
2009,12,7,2,0.4374295,99.40294
2009,12,7,3,0.4814137,106.4967
2009,12,7,4,0.6256875,128.0285
2009,12,7,5,0.9078975,161.888
2009,12,7,6,1.00583,171.6944
2009,12,7,7,0.9279546,163.6571
2009,12,8,0,0.8207461,151.294
2009,12,8,1,0.8086989,149.3622
2009,12,8,2,0.8980869,159.098
2009,12,8,3,0.918839,160.596
2009,12,8,4,0.8434091,152.5966
2009,12,8,5,0.825481,150.5247
2009,12,8,6,0.858578,154.2739
2009,12,8,7,0.9299576,161.8701
2009,12,9,0,0.8214111,150.6029
2009,12,9,1,0.8166959,150.0187
2009,12,9,2,0.9184798,161.417
